orf_name,Class D,Class C,Class B,Class A
chr_7553,K01775  alr; alanine racemase,00473 D-Alanine metabolism,Metabolism of other amino acids,Metabolism
chr_7553,K01775  alr; alanine racemase,01502 Vancomycin resistance,Drug resistance: antimicrobial,Human Diseases
chr_7553,K01775  alr; alanine racemase,01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
chr_7555,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)","00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_7555,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_7555,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",04931 Insulin resistance,Endocrine and metabolic disease,Human Diseases
chr_7555,"K00820  glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)",01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_7565,K03431  glmM; phosphoglucosamine mutase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_7566,"K02996  RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9",03010 Ribosome,Translation,Genetic Information Processing
chr_7566,"K02996  RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7567,"K02871  RP-L13, MRPL13, rplM; large subunit ribosomal protein L13",03010 Ribosome,Translation,Genetic Information Processing
chr_7567,"K02871  RP-L13, MRPL13, rplM; large subunit ribosomal protein L13",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7575,K14743  mycP; membrane-anchored mycosin MYCP,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_7575,K14743  mycP; membrane-anchored mycosin MYCP,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_7581,"K06173  truA, PUS1; tRNA pseudouridine38-40 synthase",03016 Transfer RNA biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_7582,"K02879  RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17",03010 Ribosome,Translation,Genetic Information Processing
chr_7582,"K02879  RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7583,K03040  rpoA; DNA-directed RNA polymerase subunit alpha,03020 RNA polymerase,Transcription,Genetic Information Processing
chr_7583,K03040  rpoA; DNA-directed RNA polymerase subunit alpha,03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_7583,K03040  rpoA; DNA-directed RNA polymerase subunit alpha,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_7584,"K02986  RP-S4, rpsD; small subunit ribosomal protein S4",03010 Ribosome,Translation,Genetic Information Processing
chr_7584,"K02986  RP-S4, rpsD; small subunit ribosomal protein S4",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7585,"K02948  RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11",03010 Ribosome,Translation,Genetic Information Processing
chr_7585,"K02948  RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7586,"K02952  RP-S13, rpsM; small subunit ribosomal protein S13",03010 Ribosome,Translation,Genetic Information Processing
chr_7586,"K02952  RP-S13, rpsM; small subunit ribosomal protein S13",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7587,"K02919  RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36",03010 Ribosome,Translation,Genetic Information Processing
chr_7587,"K02919  RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7588,K02518  infA; translation initiation factor IF-1,03012 Translation factors,Protein families: genetic information processing,Brite Hierarchies
chr_7590,K00570  pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase,00564 Glycerophospholipid metabolism,Lipid metabolism,Metabolism
chr_7591,K01265  map; methionyl aminopeptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_7592,"K00939  adk, AK; adenylate kinase",00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_7592,"K00939  adk, AK; adenylate kinase",00730 Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7592,"K00939  adk, AK; adenylate kinase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7593,K03076  secY; preprotein translocase subunit SecY,03060 Protein export,"Folding, sorting and degradation",Genetic Information Processing
chr_7593,K03076  secY; preprotein translocase subunit SecY,03070 Bacterial secretion system,Membrane transport,Environmental Information Processing
chr_7593,K03076  secY; preprotein translocase subunit SecY,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_7593,K03076  secY; preprotein translocase subunit SecY,02044 Secretion system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7594,"K02876  RP-L15, MRPL15, rplO; large subunit ribosomal protein L15",03010 Ribosome,Translation,Genetic Information Processing
chr_7594,"K02876  RP-L15, MRPL15, rplO; large subunit ribosomal protein L15",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7595,"K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30",03010 Ribosome,Translation,Genetic Information Processing
chr_7595,"K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7596,"K02988  RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5",03010 Ribosome,Translation,Genetic Information Processing
chr_7596,"K02988  RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7597,"K02881  RP-L18, MRPL18, rplR; large subunit ribosomal protein L18",03010 Ribosome,Translation,Genetic Information Processing
chr_7597,"K02881  RP-L18, MRPL18, rplR; large subunit ribosomal protein L18",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7598,"K02933  RP-L6, MRPL6, rplF; large subunit ribosomal protein L6",03010 Ribosome,Translation,Genetic Information Processing
chr_7598,"K02933  RP-L6, MRPL6, rplF; large subunit ribosomal protein L6",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7599,"K02994  RP-S8, rpsH; small subunit ribosomal protein S8",03010 Ribosome,Translation,Genetic Information Processing
chr_7599,"K02994  RP-S8, rpsH; small subunit ribosomal protein S8",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7600,"K02954  RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14",03010 Ribosome,Translation,Genetic Information Processing
chr_7600,"K02954  RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7601,"K02931  RP-L5, MRPL5, rplE; large subunit ribosomal protein L5",03010 Ribosome,Translation,Genetic Information Processing
chr_7601,"K02931  RP-L5, MRPL5, rplE; large subunit ribosomal protein L5",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7602,"K02895  RP-L24, MRPL24, rplX; large subunit ribosomal protein L24",03010 Ribosome,Translation,Genetic Information Processing
chr_7602,"K02895  RP-L24, MRPL24, rplX; large subunit ribosomal protein L24",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7603,"K02874  RP-L14, MRPL14, rplN; large subunit ribosomal protein L14",03010 Ribosome,Translation,Genetic Information Processing
chr_7603,"K02874  RP-L14, MRPL14, rplN; large subunit ribosomal protein L14",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7604,"K02961  RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17",03010 Ribosome,Translation,Genetic Information Processing
chr_7604,"K02961  RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7605,"K02904  RP-L29, rpmC; large subunit ribosomal protein L29",03010 Ribosome,Translation,Genetic Information Processing
chr_7605,"K02904  RP-L29, rpmC; large subunit ribosomal protein L29",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7606,"K02878  RP-L16, MRPL16, rplP; large subunit ribosomal protein L16",03010 Ribosome,Translation,Genetic Information Processing
chr_7606,"K02878  RP-L16, MRPL16, rplP; large subunit ribosomal protein L16",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7607,"K02982  RP-S3, rpsC; small subunit ribosomal protein S3",03010 Ribosome,Translation,Genetic Information Processing
chr_7607,"K02982  RP-S3, rpsC; small subunit ribosomal protein S3",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7608,"K02890  RP-L22, MRPL22, rplV; large subunit ribosomal protein L22",03010 Ribosome,Translation,Genetic Information Processing
chr_7608,"K02890  RP-L22, MRPL22, rplV; large subunit ribosomal protein L22",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7609,"K02965  RP-S19, rpsS; small subunit ribosomal protein S19",03010 Ribosome,Translation,Genetic Information Processing
chr_7609,"K02965  RP-S19, rpsS; small subunit ribosomal protein S19",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7610,"K02886  RP-L2, MRPL2, rplB; large subunit ribosomal protein L2",03010 Ribosome,Translation,Genetic Information Processing
chr_7610,"K02886  RP-L2, MRPL2, rplB; large subunit ribosomal protein L2",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7611,"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23",03010 Ribosome,Translation,Genetic Information Processing
chr_7611,"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7612,"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4",03010 Ribosome,Translation,Genetic Information Processing
chr_7612,"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7613,"K02906  RP-L3, MRPL3, rplC; large subunit ribosomal protein L3",03010 Ribosome,Translation,Genetic Information Processing
chr_7613,"K02906  RP-L3, MRPL3, rplC; large subunit ribosomal protein L3",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7614,"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10",03010 Ribosome,Translation,Genetic Information Processing
chr_7614,"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7615,"K02358  tuf, TUFM; elongation factor Tu",03029 Mitochondrial biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_7615,"K02358  tuf, TUFM; elongation factor Tu",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7615,"K02358  tuf, TUFM; elongation factor Tu",03012 Translation factors,Protein families: genetic information processing,Brite Hierarchies
chr_7616,"K02355  fusA, GFM, EFG; elongation factor G",03012 Translation factors,Protein families: genetic information processing,Brite Hierarchies
chr_7616,"K02355  fusA, GFM, EFG; elongation factor G",03029 Mitochondrial biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_7617,"K02992  RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7",03010 Ribosome,Translation,Genetic Information Processing
chr_7617,"K02992  RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7618,"K02950  RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12",03010 Ribosome,Translation,Genetic Information Processing
chr_7618,"K02950  RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7626,K00375  K00375; GntR family transcriptional regulator / MocR family aminotransferase,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_7635,K03046  rpoC; DNA-directed RNA polymerase subunit beta',03020 RNA polymerase,Transcription,Genetic Information Processing
chr_7635,K03046  rpoC; DNA-directed RNA polymerase subunit beta',03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_7635,K03046  rpoC; DNA-directed RNA polymerase subunit beta',03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_7636,K03043  rpoB; DNA-directed RNA polymerase subunit beta,03020 RNA polymerase,Transcription,Genetic Information Processing
chr_7636,K03043  rpoB; DNA-directed RNA polymerase subunit beta,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_7636,K03043  rpoB; DNA-directed RNA polymerase subunit beta,03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_7641,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7641,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7642,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7642,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7643,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7643,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7644,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7644,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7645,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7645,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7646,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7646,"K02067  mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7647,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7647,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7648,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7648,"K02066  mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7649,"K02065  mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_7649,"K02065  mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7650,"K02935  RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12",03010 Ribosome,Translation,Genetic Information Processing
chr_7650,"K02935  RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7651,"K02864  RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10",03010 Ribosome,Translation,Genetic Information Processing
chr_7651,"K02864  RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7653,"K02863  RP-L1, MRPL1, rplA; large subunit ribosomal protein L1",03010 Ribosome,Translation,Genetic Information Processing
chr_7653,"K02863  RP-L1, MRPL1, rplA; large subunit ribosomal protein L1",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7654,"K02867  RP-L11, MRPL11, rplK; large subunit ribosomal protein L11",03010 Ribosome,Translation,Genetic Information Processing
chr_7654,"K02867  RP-L11, MRPL11, rplK; large subunit ribosomal protein L11",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7655,K02601  nusG; transcription termination/antitermination protein NusG,03009 Ribosome biogenesis,Protein families: genetic information processing,Brite Hierarchies
chr_7655,K02601  nusG; transcription termination/antitermination protein NusG,03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_7656,K03073  secE; preprotein translocase subunit SecE,03060 Protein export,"Folding, sorting and degradation",Genetic Information Processing
chr_7656,K03073  secE; preprotein translocase subunit SecE,03070 Bacterial secretion system,Membrane transport,Environmental Information Processing
chr_7656,K03073  secE; preprotein translocase subunit SecE,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_7656,K03073  secE; preprotein translocase subunit SecE,02044 Secretion system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7657,K00812  aspB; aspartate aminotransferase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00350 Tyrosine metabolism,Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,"00960 Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,"00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00950 Isoquinoline alkaloid biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00401 Novobiocin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00220 Arginine biosynthesis,Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,00360 Phenylalanine metabolism,Amino acid metabolism,Metabolism
chr_7657,K00812  aspB; aspartate aminotransferase,01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_7660,"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",03010 Ribosome,Translation,Genetic Information Processing
chr_7660,"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",03011 Ribosome,Protein families: genetic information processing,Brite Hierarchies
chr_7666,K09767  yajQ; cyclic-di-GMP-binding protein,99995 Signaling proteins,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_7667,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase",00525 Acarbose and validamycin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_7667,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase",00523 Polyketide sugar unit biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_7667,"K00973  E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase",00521 Streptomycin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_7668,K03799  htpX; heat shock protein HtpX,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_7673,K00343  nuoN; NADH-quinone oxidoreductase subunit N,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7674,K00342  nuoM; NADH-quinone oxidoreductase subunit M,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7675,K00341  nuoL; NADH-quinone oxidoreductase subunit L,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7676,K00340  nuoK; NADH-quinone oxidoreductase subunit K,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7677,K00339  nuoJ; NADH-quinone oxidoreductase subunit J,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7678,K00338  nuoI; NADH-quinone oxidoreductase subunit I,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7679,K00337  nuoH; NADH-quinone oxidoreductase subunit H,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7680,K00336  nuoG; NADH-quinone oxidoreductase subunit G,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7681,K00335  nuoF; NADH-quinone oxidoreductase subunit F,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7682,K00334  nuoE; NADH-quinone oxidoreductase subunit E,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7683,K00333  nuoD; NADH-quinone oxidoreductase subunit D,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7684,K00332  nuoC; NADH-quinone oxidoreductase subunit C,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7685,K00331  nuoB; NADH-quinone oxidoreductase subunit B,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7686,K00330  nuoA; NADH-quinone oxidoreductase subunit A,00190 Oxidative phosphorylation,Energy metabolism,Metabolism
chr_7687,K21401  menJ; menaquinone-9 beta-reductase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_7690,"K17737  dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_7692,"K03183  ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase",00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7694,"K12583  mgtA; phosphatidylinositol alpha 1,6-mannosyltransferase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_7698,K01851  pchA; salicylate biosynthesis isochorismate synthase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7698,K01851  pchA; salicylate biosynthesis isochorismate synthase,01053 Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,Metabolism
chr_7700,K02551  menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7701,K01661  menB; naphthoate synthase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7702,K01911  menE; O-succinylbenzoic acid---CoA ligase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7703,"K02548  menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase",00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_7703,"K02548  menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase",01006 Prenyltransferases,Protein families: metabolism,Brite Hierarchies
chr_7705,K01738  cysK; cysteine synthase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_7705,K01738  cysK; cysteine synthase,00920 Sulfur metabolism,Energy metabolism,Metabolism
chr_7711,"K07399  resB, ccs1; cytochrome c biogenesis protein",99975 Protein processing,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_7712,K06196  ccdA; cytochrome c-type biogenesis protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7715,"K01845  hemL; glutamate-1-semialdehyde 2,1-aminomutase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7715,"K01845  hemL; glutamate-1-semialdehyde 2,1-aminomutase",01007 Amino acid related enzymes,Protein families: metabolism,Brite Hierarchies
chr_7723,"K01698  hemB, ALAD; porphobilinogen synthase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7723,"K01698  hemB, ALAD; porphobilinogen synthase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7730,K13542  cobA-hemD; uroporphyrinogen III methyltransferase / synthase,00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7731,"K01749  hemC, HMBS; hydroxymethylbilane synthase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7732,K02492  hemA; glutamyl-tRNA reductase,00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_7733,K01926  rex; redox-sensing transcriptional repressor,03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_7735,"K03088  rpoE; RNA polymerase sigma-70 factor, ECF subfamily",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_7737,K04750  phnB; PhnB protein,99996 General function prediction only,Poorly characterized,Not Included in Pathway or Brite
chr_7739,K03696  clpC; ATP-dependent Clp protease ATP-binding subunit ClpC,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_7741,"K01784  galE, GALE; UDP-glucose 4-epimerase",00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_7741,"K01784  galE, GALE; UDP-glucose 4-epimerase",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_7744,K00286  proC; pyrroline-5-carboxylate reductase,00330 Arginine and proline metabolism,Amino acid metabolism,Metabolism
chr_7750,"K01524  ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_7751,"K07776  regX3; two-component system, OmpR family, response regulator RegX3",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_7751,"K07776  regX3; two-component system, OmpR family, response regulator RegX3",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7752,"K07768  senX3; two-component system, OmpR family, sensor histidine kinase SenX3",02020 Two-component system,Signal transduction,Environmental Information Processing
chr_7752,"K07768  senX3; two-component system, OmpR family, sensor histidine kinase SenX3",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_7752,"K07768  senX3; two-component system, OmpR family, sensor histidine kinase SenX3",02022 Two-component system,Protein families: signaling and cellular processes,Brite Hierarchies
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",00680 Methane metabolism,Energy metabolism,Metabolism
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",04922 Glucagon signaling pathway,Endocrine system,Organismal Systems
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",05230 Central carbon metabolism in cancer,Cancer: overview,Human Diseases
chr_7753,"K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
